# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-06T16:01:21
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-360.95216766	-5.62837518
-360.91883432	-6.63394411
-360.88550099	-7.45592265
-360.85216766	-8.01907511
-360.81883432	-8.24412998
-360.78550099	-8.09008872
-360.75216766	-7.54261888
-360.71883432	-6.61640190
-360.68550099	-5.37732892
-360.65216766	-3.91752633
-360.61883432	-2.34645946
-360.58550099	-0.78854097
-360.55216766	0.66100484
-360.51883432	1.93366204
-360.48550099	2.96660554
-360.45216766	3.74135624
-360.41883432	4.26258517
-360.38550099	4.56616177
-360.35216766	4.67950996
-360.31883432	4.63225699
-360.28550099	4.45262434
-360.25216766	4.16174791
-360.21883432	3.78733174
-360.18550099	3.35754310
-360.15216766	2.89686923
-360.11883432	2.43922203
-360.08550099	2.00772112
-360.05216766	1.62100496
-360.01883432	1.28704107
-359.98550099	1.00172964
-359.95216766	0.76300232
-359.91883432	0.56960317
-359.88550099	0.42196166
-359.85216766	0.31793994
-359.81883432	0.25843477
-359.78550099	0.22947192
-359.75216766	0.21663770
-359.71883432	0.19674853
-359.68550099	0.15369030
-359.65216766	0.07060960
-359.61883432	-0.05228536
-359.58550099	-0.21026398
-359.55216766	-0.38010127
-359.51883432	-0.54992628
-359.48550099	-0.69637862
-359.45216766	-0.81434661
-359.41883432	-0.89062755
-359.38550099	-0.91747002
-359.35216766	-0.88996361
-359.31883432	-0.80001463
-359.28550099	-0.65061355
-359.25216766	-0.44703270
-359.21883432	-0.19995078
-359.18550099	0.07025144
-359.15216766	0.34005279
-359.11883432	0.58064732
-359.08550099	0.76923559
-359.05216766	0.88753228
-359.01883432	0.92786928
-358.98550099	0.89159651
-358.95216766	0.79272509
-358.91883432	0.63824247
-358.88550099	0.45866560
-358.85216766	0.26249078
-358.81883432	0.06988458
-358.78550099	-0.10284457
-358.75216766	-0.24205144
-358.71883432	-0.33361679
-358.68550099	-0.37167498
-358.65216766	-0.35254134
-358.61883433	-0.28036442
-358.58550099	-0.17028811
-358.55216766	-0.04410808
-358.51883433	0.07614926
-358.48550099	0.17342347
-358.45216766	0.23398109
-358.41883433	0.26160960
-358.38550099	0.26076810
-358.35216766	0.24457175
-358.31883433	0.22163681
-358.28550099	0.19528067
-358.25216766	0.17007668
-358.21883433	0.14154168
-358.18550099	0.10343118
-358.15216766	0.05681632
-358.11883433	-0.00404462
-358.08550099	-0.06536902
-358.05216766	-0.12419009
-358.01883433	-0.17056535
-357.98550099	-0.20137135
-357.95216766	-0.21849437
-357.91883433	-0.22367059
-357.88550099	-0.22023709
-357.85216766	-0.22220387
-357.81883433	-0.22852878
-357.78550099	-0.24067559
-357.75216766	-0.26205600
-357.71883433	-0.28376409
-357.68550099	-0.30413271
-357.65216766	-0.31231040
-357.61883433	-0.30619265
-357.58550099	-0.27660027
-357.55216766	-0.22003307
-357.51883433	-0.13567329
-357.48550099	-0.02432545
-357.45216766	0.10148413
-357.41883433	0.23278039
-357.38550099	0.36114611
-357.35216766	0.47156207
-357.31883433	0.55675768
-357.28550099	0.61293651
-357.25216766	0.63568745
-357.21883433	0.62591388
-357.18550099	0.57805495
-357.15216766	0.49096378
-357.11883433	0.36320570
-357.08550099	0.20290939
-357.05216766	0.02011736
-357.01883433	-0.17299284
-356.98550099	-0.35180449
-356.95216766	-0.49830230
-356.91883433	-0.58883615
-356.88550099	-0.61711556
-356.85216766	-0.57906565
-356.81883433	-0.48183297
-356.78550099	-0.34180947
-356.75216766	-0.18017423
-356.71883433	-0.01398358
-356.68550099	0.13389068
-356.65216766	0.25349909
-356.61883433	0.33284410
-356.58550099	0.37035670
-356.55216766	0.36413255
-356.51883433	0.31977906
-356.48550099	0.24177455
-356.45216766	0.14500158
-356.41883433	0.03835582
-356.38550099	-0.06489253
-356.35216766	-0.15107822
-356.31883433	-0.21477714
-356.28550099	-0.25689665
-356.25216766	-0.27809967
-356.21883433	-0.28424505
-356.18550099	-0.27594182
-356.15216766	-0.26109864
-356.11883433	-0.23926325
-356.08550099	-0.21208581
-356.05216766	-0.17692403
-356.01883433	-0.13681271
-355.98550099	-0.09396798
-355.95216766	-0.05042051
-355.91883433	-0.00631676
-355.88550099	0.03065442
-355.85216766	0.06287697
-355.81883433	0.07866455
-355.78550099	0.08042793
-355.75216766	0.06839236
-355.71883433	0.05003228
-355.68550099	0.02922867
-355.65216766	0.01446981
-355.61883433	0.01454008
-355.58550099	0.03619267
-355.55216766	0.07631740
-355.51883433	0.12892217
-355.48550099	0.18277183
-355.45216766	0.22374569
-355.41883433	0.24043382
-355.38550100	0.22275465
-355.35216766	0.17306868
-355.31883433	0.09746552
-355.28550100	0.01223489
-355.25216766	-0.06579768
-355.21883433	-0.12474432
-355.18550100	-0.15357236
-355.15216766	-0.15974868
-355.11883433	-0.14935627
-355.08550100	-0.13687661
-355.05216766	-0.13099806
-355.01883433	-0.13840573
-354.98550100	-0.15377652
-354.95216766	-0.17297025
-354.91883433	-0.18809379
-354.88550100	-0.19568275
-354.85216766	-0.19529278
-354.81883433	-0.18788704
-354.78550100	-0.17582475
-354.75216766	-0.16504733
-354.71883433	-0.15642124
-354.68550100	-0.15134248
-354.65216766	-0.14142748
-354.61883433	-0.12894702
-354.58550100	-0.10641720
-354.55216766	-0.07273367
-354.51883433	-0.02691229
-354.48550100	0.02630481
-354.45216766	0.08392236
-354.41883433	0.13204482
-354.38550100	0.16119376
-354.35216766	0.16651175
-354.31883433	0.14645715
-354.28550100	0.10445351
-354.25216766	0.05055099
-354.21883433	-0.00438575
-354.18550100	-0.04849844
-354.15216766	-0.08076635
-354.11883433	-0.09528081
-354.08550100	-0.09747495
-354.05216766	-0.08847058
-354.01883433	-0.07051317
-353.98550100	-0.04499301
-353.95216766	-0.01535924
-353.91883433	0.01479287
-353.88550100	0.04689386
-353.85216766	0.07256102
-353.81883433	0.09249856
-353.78550100	0.10741606
-353.75216766	0.12496021
-353.71883433	0.14304520
-353.68550100	0.16907457
-353.65216766	0.19642601
-353.61883433	0.21863026
-353.58550100	0.22455938
-353.55216766	0.20846055
-353.51883433	0.16428842
-353.48550100	0.09694825
-353.45216766	0.01818658
-353.41883433	-0.05991957
-353.38550100	-0.12196169
-353.35216766	-0.16164052
-353.31883433	-0.17662687
-353.28550100	-0.17062645
-353.25216766	-0.15135609
-353.21883433	-0.12754103
-353.18550100	-0.10309052
-353.15216766	-0.08147437
-353.11883433	-0.06298630
-353.08550100	-0.04445458
-353.05216766	-0.02312782
-353.01883433	-0.00247767
-352.98550100	0.02036174
-352.95216766	0.04148293
-352.91883433	0.05406579
-352.88550100	0.05721198
-352.85216766	0.04453685
-352.81883433	0.01483485
-352.78550100	-0.02580804
-352.75216766	-0.07245790
-352.71883433	-0.11517160
-352.68550100	-0.13844032
-352.65216766	-0.14163281
-352.61883433	-0.12061981
-352.58550100	-0.07651039
-352.55216766	-0.02106773
-352.51883433	0.03786151
-352.48550100	0.08633686
-352.45216766	0.11640004
-352.41883433	0.12659842
-352.38550100	0.11783456
-352.35216766	0.09289105
-352.31883433	0.06031244
-352.28550100	0.02523796
-352.25216766	-0.00937857
-352.21883433	-0.03771578
-352.18550100	-0.05571678
-352.15216767	-0.06535906
-352.11883433	-0.07016673
-352.08550100	-0.06370710
-352.05216767	-0.05071256
-352.01883433	-0.03171760
-351.98550100	-0.00892321
-351.95216767	0.02031510
