# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:00:26
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-361.45220921	0.23491006
-361.41887587	0.24213996
-361.38554253	0.24675949
-361.35220920	0.24921353
-361.31887586	0.25091621
-361.28554252	0.24805198
-361.25220918	0.24582630
-361.21887584	0.23987448
-361.18554250	0.23317419
-361.15220916	0.22442788
-361.11887583	0.21676770
-361.08554249	0.21296704
-361.05220915	0.21161740
-361.01887581	0.21259524
-360.98554247	0.22059752
-360.95220913	0.22986402
-360.91887579	0.24502212
-360.88554246	0.26079318
-360.85220912	0.27661508
-360.81887578	0.28982362
-360.78554244	0.29690784
-360.75220910	0.29316850
-360.71887576	0.27430950
-360.68554242	0.23727235
-360.65220908	0.17800020
-360.61887575	0.09557043
-360.58554241	-0.00975855
-360.55220907	-0.14203967
-360.51887573	-0.29678166
-360.48554239	-0.47241883
-360.45220905	-0.66185593
-360.41887571	-0.86411503
-360.38554238	-1.06612505
-360.35220904	-1.25737754
-360.31887570	-1.43189895
-360.28554236	-1.57850125
-360.25220902	-1.68762236
-360.21887568	-1.75562898
-360.18554234	-1.77534982
-360.15220901	-1.74228761
-360.11887567	-1.66130335
-360.08554233	-1.53609397
-360.05220899	-1.37363724
-360.01887565	-1.18077430
-359.98554231	-0.96612594
-359.95220897	-0.73826538
-359.91887564	-0.50960839
-359.88554230	-0.28359989
-359.85220896	-0.07332920
-359.81887562	0.11895790
-359.78554228	0.28634148
-359.75220894	0.42887169
-359.71887560	0.54623223
-359.68554227	0.63787147
-359.65220893	0.70468317
-359.61887559	0.74787644
-359.58554225	0.77024158
-359.55220891	0.77476960
-359.51887557	0.76553679
-359.48554223	0.74441937
-359.45220890	0.71729331
-359.41887556	0.68086157
-359.38554222	0.64209345
-359.35220888	0.60071048
-359.31887554	0.56032850
-359.28554220	0.51889864
-359.25220886	0.47854720
-359.21887553	0.43960670
-359.18554219	0.39945349
-359.15220885	0.35954984
-359.11887551	0.31963838
-359.08554217	0.27869251
-359.05220883	0.23915823
-359.01887549	0.20136185
-358.98554215	0.16328193
-358.95220882	0.12696874
-358.91887548	0.09713869
-358.88554214	0.06977649
-358.85220880	0.05059816
-358.81887546	0.03726307
-358.78554212	0.03222206
-358.75220878	0.03493016
-358.71887545	0.04605728
-358.68554211	0.06328686
-358.65220877	0.08488431
-358.61887543	0.11035687
-358.58554209	0.13536455
-358.55220875	0.16069127
-358.51887541	0.18215110
-358.48554208	0.19713605
-358.45220874	0.20609089
-358.41887540	0.20725712
-358.38554206	0.20007004
-358.35220872	0.18468449
-358.31887538	0.16224961
-358.28554204	0.13500455
-358.25220871	0.10611138
-358.21887537	0.07407081
-358.18554203	0.04455090
-358.15220869	0.01577350
-358.11887535	-0.00635912
-358.08554201	-0.02343947
-358.05220867	-0.03440671
-358.01887534	-0.04157545
-357.98554200	-0.04336109
-357.95220866	-0.04054571
-357.91887532	-0.03478855
-357.88554198	-0.02847072
-357.85220864	-0.01983661
-357.81887530	-0.01132191
-357.78554197	-0.00456889
-357.75220863	0.00378921
-357.71887529	0.01062491
-357.68554195	0.01437886
-357.65220861	0.01843764
-357.61887527	0.02190832
-357.58554193	0.02414043
-357.55220860	0.02648442
-357.51887526	0.02372111
-357.48554192	0.02132161
-357.45220858	0.01786496
-357.41887524	0.01086887
-357.38554190	0.00341275
-357.35220856	-0.00598998
-357.31887522	-0.01502211
-357.28554189	-0.02494483
-357.25220855	-0.03719854
-357.21887521	-0.04798757
-357.18554187	-0.05973236
